date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:43	3217/3217	---M--	200	added ('OK')	image/png	etag:%22641cb02a-c91%22	https://cdn.brainmeasures.com/Images/Home/icon-06.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-06.png	(from https://www.brainmeasures.com/)
22:25:43	47754/47754	---M--	200	added ('OK')	image/png	etag:%22641cb02a-ba8a%22	https://cdn.brainmeasures.com/Images/Home/ebook-courses.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/ebook-courses.png	(from https://www.brainmeasures.com/)
22:25:48	6260/6260	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1874%22	https://cdn.brainmeasures.com/Images/Home/icon-08.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-08.png	(from https://www.brainmeasures.com/)
22:25:49	3958/3958	---M--	200	added ('OK')	image/png	etag:%22641cb02a-f76%22	https://cdn.brainmeasures.com/Images/Home/icon-09.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-09.png	(from https://www.brainmeasures.com/)
22:25:52	2002/2002	---M--	200	added ('OK')	image/png	etag:%22641cb02a-7d2%22	https://cdn.brainmeasures.com/Images/Home/icon-07.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-07.png	(from https://www.brainmeasures.com/)
22:25:52	30131/30131	---M--	200	added ('OK')	image/png	etag:%22641cb02a-75b3%22	https://cdn.brainmeasures.com/Images/Home/test-courses.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/test-courses.png	(from https://www.brainmeasures.com/)
22:26:03	1759/1759	---M--	200	added ('OK')	image/png	etag:%22641cb02a-6df%22	https://cdn.brainmeasures.com/Images/Home/icon-10.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-10.png	(from https://www.brainmeasures.com/)
22:26:32	189369/189369	---M--	200	added ('OK')	image/png	etag:%22641cb02a-2e3b9%22	https://cdn.brainmeasures.com/Images/Home/proctor-exam.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/proctor-exam.png	(from https://www.brainmeasures.com/)
22:26:34	152290/152290	---M--	200	added ('OK')	image/png	etag:%22641cb02a-252e2%22	https://cdn.brainmeasures.com/Images/Home/certificate.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/certificate.png	(from https://www.brainmeasures.com/)
22:26:40	66753/66753	---M--	200	added ('OK')	image/png	etag:%22641cb02a-104c1%22	https://cdn.brainmeasures.com/Images/Home/employee-hiring.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/employee-hiring.png	(from https://www.brainmeasures.com/)
22:26:53	2604/2604	---M--	200	added ('OK')	image/png	etag:%22641cb02a-a2c%22	https://cdn.brainmeasures.com/Images/Home/icon-14.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-14.png	(from https://www.brainmeasures.com/)
22:26:59	46471/46471	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:56:43%20GMT	https://www.brainmeasures.com/employee-testing.aspx	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/employee-testing.html	(from https://www.brainmeasures.com/)
22:27:04	2318/2318	---M--	200	added ('OK')	image/png	etag:%22641cb02a-90e%22	https://cdn.brainmeasures.com/Images/Home/icon-15.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-15.png	(from https://www.brainmeasures.com/)
22:27:12	2724/2724	---M--	200	added ('OK')	image/png	etag:%22641cb02a-aa4%22	https://cdn.brainmeasures.com/Images/Home/icon-16.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-16.png	(from https://www.brainmeasures.com/)
22:27:16	4660/4660	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1234%22	https://cdn.brainmeasures.com/Images/Home/icon-17.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-17.png	(from https://www.brainmeasures.com/)
22:27:16	5981/5981	---M--	200	added ('OK')	image/png	etag:%22641cb02a-175d%22	https://cdn.brainmeasures.com/Images/Home/icon-18.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-18.png	(from https://www.brainmeasures.com/)
22:27:20	4380/4380	---M--	200	added ('OK')	image/png	etag:%22641cb02a-111c%22	https://cdn.brainmeasures.com/Images/Home/icon-19.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-19.png	(from https://www.brainmeasures.com/)
22:27:23	4795/4795	---M--	200	added ('OK')	image/png	etag:%22641cb02a-12bb%22	https://cdn.brainmeasures.com/Images/Home/icon-21.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-21.png	(from https://www.brainmeasures.com/)
22:27:23	38695/38695	---M--	200	added ('OK')	image/png	etag:%22641cb02a-9727%22	https://cdn.brainmeasures.com/Images/Home/free-certification.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/free-certification.png	(from https://www.brainmeasures.com/)
22:27:25	2114/2114	---M--	200	added ('OK')	image/png	etag:%22641cb02a-842%22	https://cdn.brainmeasures.com/Images/Home/icon-20.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-20.png	(from https://www.brainmeasures.com/)
22:27:43	253298/253298	---M--	200	added ('OK')	image/gif	etag:%22641cb02a-3dd72%22	https://cdn.brainmeasures.com/Images/Home/liveinterview.gif	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/liveinterview.gif	(from https://www.brainmeasures.com/)
22:27:55	15886/15886	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:57:39%20GMT	https://www.brainmeasures.com/Register.aspx?p=corp	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/Register7793.html	(from https://www.brainmeasures.com/)
22:27:58	3113/3113	---M--	200	added ('OK')	image/png	etag:%22641cb02a-c29%22	https://cdn.brainmeasures.com/Images/Home/icon-22.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-22.png	(from https://www.brainmeasures.com/)
22:28:15	409382/409382	---M--	200	added ('OK')	image/png	etag:%22641cb02a-63f26%22	https://cdn.brainmeasures.com/Images/Home/home-element.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/home-element.png	(from https://www.brainmeasures.com/)
22:28:21	24098/24098	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:58:15%20GMT	https://www.brainmeasures.com/psychometric/home	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/psychometric/home.html	(from https://www.brainmeasures.com/)
22:28:25	293299/293299	---M--	200	added ('OK')	image/png	etag:%22641cb02a-479b3%22	https://cdn.brainmeasures.com/Images/Home/psychomatrix.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/psychomatrix.png	(from https://www.brainmeasures.com/)
22:28:28	70956/70956	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1152c%22	https://cdn.brainmeasures.com/Images/Home/HassleFree.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/HassleFree.png	(from https://www.brainmeasures.com/)
22:28:30	24685/24685	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:58:29%20GMT	https://www.brainmeasures.com/ContactUs.aspx	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/ContactUs.html	(from https://www.brainmeasures.com/)
22:28:37	6145/6145	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1801%22	https://cdn.brainmeasures.com/Images/Home/icon-23.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/icon-23.png	(from https://www.brainmeasures.com/)
22:28:38	128343/128343	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1f557%22	https://cdn.brainmeasures.com/Images/Home/typeofque.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/typeofque.png	(from https://www.brainmeasures.com/)
22:28:41	595/595	---M--	200	added ('OK')	image/png	etag:%22641cb02a-253%22	https://cdn.brainmeasures.com/Images/Home/spain.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/spain.png	(from https://www.brainmeasures.com/)
22:28:45	855/855	---M--	200	added ('OK')	image/png	etag:%22641cb02a-357%22	https://cdn.brainmeasures.com/Images/Home/india.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/india.png	(from https://www.brainmeasures.com/)
22:28:46	95452/95452	---M--	200	added ('OK')	image/png	etag:%22641cb02a-174dc%22	https://cdn.brainmeasures.com/Images/Home/integration.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/integration.png	(from https://www.brainmeasures.com/)
22:28:46	1263/1263	---M--	200	added ('OK')	image/png	etag:%22641cb02a-4ef%22	https://cdn.brainmeasures.com/Images/Home/uk.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/uk.png	(from https://www.brainmeasures.com/)
22:28:47	1149/1149	---M--	200	added ('OK')	image/png	etag:%22641cb02a-47d%22	https://cdn.brainmeasures.com/Images/Home/usa.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/usa.png	(from https://www.brainmeasures.com/)
22:28:51	8985/8985	---M--	200	added ('OK')	image/png	etag:%22641cb02a-2319%22	https://cdn.brainmeasures.com/Images/Home/review-user.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/review-user.png	(from https://www.brainmeasures.com/)
22:28:52	32800/32800	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2016:58:49%20GMT	https://www.brainmeasures.com/ScoreBoard.aspx	C:/Users/HP/Desktop/kkkzz2/www.brainmeasures.com/ScoreBoard.html	(from https://www.brainmeasures.com/)
22:29:14	801710/801710	---M--	200	added ('OK')	image/png	etag:%22641cb02a-c3bae%22	https://cdn.brainmeasures.com/Images/Home/news3.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/news3.png	(from https://www.brainmeasures.com/)
22:29:14	889845/889845	---M--	200	added ('OK')	image/png	etag:%22641cb02a-d93f5%22	https://cdn.brainmeasures.com/Images/Home/news2.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/news2.png	(from https://www.brainmeasures.com/)
22:29:18	1054299/1054299	---M--	200	added ('OK')	image/png	etag:%22641cb02a-10165b%22	https://cdn.brainmeasures.com/Images/Home/news4.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/news4.png	(from https://www.brainmeasures.com/)
22:29:18	13862/13862	---M--	200	added ('OK')	image/png	etag:%22641cb02a-3626%22	https://cdn.brainmeasures.com/Images/Home/c01.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/c01.png	(from https://www.brainmeasures.com/)
22:29:19	10093/10093	---M--	200	added ('OK')	image/png	etag:%22641cb02a-276d%22	https://cdn.brainmeasures.com/Images/Home/c02.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/c02.png	(from https://www.brainmeasures.com/)
22:29:20	14476/14476	---M--	200	added ('OK')	image/png	etag:%22641cb02a-388c%22	https://cdn.brainmeasures.com/Images/Home/c6.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/c6.png	(from https://www.brainmeasures.com/)
22:29:21	9791/9791	---M--	200	added ('OK')	image/png	etag:%22641cb02a-263f%22	https://cdn.brainmeasures.com/Images/Home/c2.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/c2.png	(from https://www.brainmeasures.com/)
22:29:22	22010/22010	---M--	200	added ('OK')	image/png	etag:%22641cb02a-55fa%22	https://cdn.brainmeasures.com/Images/Home/c3.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/c3.png	(from https://www.brainmeasures.com/)
22:29:24	7296/7296	---M--	200	added ('OK')	image/png	etag:%22641cb02a-1c80%22	https://cdn.brainmeasures.com/Images/Home/c4.png	C:/Users/HP/Desktop/kkkzz2/cdn.brainmeasures.com/Images/Home/c4.png	(from https://www.brainmeasures.com/)
